report	provider_number	npi	fy_start	fy_end	date_processed	date_created	status	year	data_source	beds	tot_charges	net_pat_rev	tot_discounts	tot_operating_exp	ip_charges	icu_charges	ancillary_charges	tot_discharges	mcare_discharges	mcaid_discharges	tot_mcare_payment	secondary_mcare_payment	street	city	state	zip	county	name	uncomp_care	cost_to_charge	new_cap_ass	cash	fixed_assets	depr_land	depr_bldg	depr_lease	depr_fixed_equip	depr_auto	depr_major_equip	depr_minor_equip	current_assets	current_liabilities	pps_ip_charges	pps_op_charges	pps_mcare_cost	pps_pgm_cost
237692	220025		10/01/2008	05/03/2009	09/22/2009	09/15/2009	1	2009	v1996	22	23835841	11195377	12640464	12583493	719040	226931	2623431	566	222	141	1299095	2295	340 THOMPSON ROAD	WEBSTER	MA	01570	WORCESTER	HUBBARD REGIONAL HOSPITAL	1352266	.466225	7695	631154	1349658								3237794	7162379	3032402	17407968	1717829	1644640
238558	050714		01/01/2009	04/30/2009	10/16/2009	10/15/2009	1	2009	v1996	30	36000406	18248929	17751477	14104528	4310787		9102515	594	52	33	676454		2900 CHANTICLEER AVENUE	SANTA CRUZ	CA	95065	SANTA CRUZ	SUTTER MATERNITY & SURGERY CENTER	758726	.416436	375212	1526978	13148424	287606	7034619		561701		5746370		8371731	2720287	13413301	20946908	982468	895459
238967	010157		01/01/2009	03/31/2009	10/29/2009	10/21/2009	1	2009	v1996	122	24519761	10455581	14064180	7498862	860442	233450	9521789	304	153	22	871643		201 W AVALON AVE.	MUSCLE SHOALS	AL	35661-	COLBERT	SHOALS HOSPITAL	4432100	.29916	2300	5844053	74338809		54444091				91235377		35690302	21179384	11669575	11658582	1310682	1136209
239439	673033		11/19/2008	12/31/2008	11/10/2009	10/29/2009	2	2009	v1996	42	547993	101629	446364	1750588	276600		271393	15	11				1340 EMPIRE CENTRAL DRIVE	DALLAS	TX	75247	DALLAS	GLOBAL REHAB HOSPITAL-DALLAS			1974444	335774	1028384						1065544		400055	324433	547994		403069	368303
239722	521308		12/31/2008	04/30/2009	11/19/2009	11/19/2009	1	2009	v1996	25	22630884	15482661	7148223	16127423	1832213	269505	3682982	504	252	25			225 SCHOLL COURT	AMERY	WI	54001-1412	POLK	AMERY REGIONAL MEDICAL CENTER			947802	2035539	39987709	411205	4260445		3209661		4759240	211062	12145778	7172274	5718731	12467126	2501545	
239829	491306		10/29/2008	02/28/2009	11/24/2009	11/16/2009	2	2009	v1996	25	1274281	547508	726773	883280	2683			1	1				ROUTE 2	STUART	VA	24171	PATRICK	RJ REYNOLDS PATRICK CO HOSP				247016	449762						2000		3370500	4067005	17590	1119011	12011	
240122	360150		01/01/2009	06/23/2009	12/02/2009	12/01/2009	1	2009	v1996	105	121164035	36976330	84187705	37787715	9315631	2748063	28961527	1207	465	97	4651756	17835	1900 23RD STREET	CUYAHOGA FALLS	OH	44223	SUMMIT	CUYAHOGA FALLS GENERAL HOSPITAL	8954099	.22429	460400	13109701	20526194	1320063	16529884	16726	12933294		19264933		25205296	11585831	40174078	80989958	4326095	4021975
240219	670002		01/01/2009	03/15/2009	12/04/2009	11/12/2009	1	2009	v1996	111	22327610	3892191	18435419	5169641	4004702	744800	9446445	645	158	47	1291825	3782	2929 HAMPTON	DALLAS	TX	75234	DALLAS	RENAISSANCE HOSPITAL DALLAS		.239595	9482269	367580	7421530						9063171		13127385	9123011	14879549	7521576	1638328	1268815
241642	060123		10/21/2008	12/31/2008	12/22/2009	11/23/2009	2	2009	v1996	42	2429191	558145	1871046	2713661	112107		1397724	26	17		508355		1830 FRANKLIN STREET	DENVER	CO	80218	DENVER	COLORADO ORTHOPAEDIC & SURGICAL HOSP		.97405	8562188	213377	8329339						344611		1849029	2415823	1510695	918497	1199492	809200
241939	670053		10/10/2008	12/31/2008	12/23/2009	12/09/2009	2	2009	v1996	68	17076406	4914756	12161650	20314109	1161623	787561	6054411	385	79	13	1021125		1317 LAKE POINTE PARKWAY	SUGAR LAND	TX	77478	FORT BEND	ST. LUKE S SUGAR LAND HOSPITAL	298598	1.031761	111726294	10732079	110312858		509049				904387		17102203	16870889	8743494	8332913	2938190	2338618
241940	670054		10/27/2008	12/31/2008	12/23/2009	12/07/2009	2	2009	v1996	20	7359840	3191662	4168178	3612845	340465		3235121	106	8		169448		9522 HUEBNER RD	SAN ANTONIO	TX	78240	BEXAR	FOUNDATION SURGICAL SAN ANTONIO		.501151		179373	7169767		14960		1953811				7029939	16588783	3576161	3783679	210159	114886
242358	371330		10/01/2008	12/31/2008	12/30/2009	12/09/2009	2	2009	v1996	25	4918902	1889156	3029746	2218566	414215		978491	87	52	13			ONE WICKERSHAM	MANGUM	OK	73554	GREER	MANGUM CITY HOSPITAL			6110	53558	709545	7789			119069		78574		2436211	3696208	1453394	2986161	383711	
242402	370231		02/11/2009	06/30/2009	12/31/2009	12/16/2009	2	2009	v1996														900 E. AIRPORT ROAD	OKMULGEE	OK	74447	OKMULGEE	GEORGE NIGH LONG TERM ACUTE CARE																		
242455	350070		01/01/2009	06/30/2009	01/13/2010	12/28/2009	1	2009	v1996	86	250059422	112227809	137831613	122260805	9814186	5674671	65250339	3588	1424	393	13451798	28076	3000 32ND AVENUE S	FARGO	ND	58103	CASS	INNOVIS HOSPITAL		.436972	4937645	6910623	144148310	145480	5336105	63809			8136769		50124884	43082813	80588827	93870763	14285994	13119235
242757	451357		10/01/2008	12/31/2008	01/13/2010	12/31/2009	2	2009	v1996	25	13619905	6807644	6812261	7366160	811039		1625402	118	82	13			1700 BRAZOS	ROCKDALE	TX	76567	MILAM	RICHARDS MEMORIAL HOSPITAL			20222	380320	4290856	1995	134946		2701		944889		8525325	3839614	2497675	9150870	716178	
242981	150172		10/30/2008	12/31/2008	01/15/2010	12/17/2009	2	2009	v1996	12	6665943	2137105	4528838	1406775	22244		1315765	54	10		68723		4023 REAS LANE	NEW ALBANY	IN	47150	FLOYD	PHYSICIANS MEDICAL CENTER		.197691	11559351	148417	12050800						338289		2306818	5679306	1366845	5299098	84273	60431
