provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
10001,2008-10-01,2009-09-30,2010-11-03,2010-10-25,v1996,370.0,980776069.0,236050709.0,744725360.0,244567428.0,91187217.0,18606299.0,370667002.0,18135.0,8224.0,4227.0,77392364.0,557218.0,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301-,HOUSTON,SOUTHEAST ALABAMA MEDICAL CENTER,74888628.0,0.213747,21236591.0,11026821.0,161902228.0,,,,,,238923334.0,,51688266.0,33284319.0,481443938.0,436723929.0,63056178.0,58133433.0,,,,,,,2009,unique reports
10005,2008-10-01,2009-09-30,2010-05-25,2010-05-21,v1996,114.0,184944919.0,64274300.0,120670619.0,68806697.0,10411901.0,1892660.0,52541219.0,5712.0,2245.0,1084.0,16336485.0,11957.0,2505 U.S. HIGHWAY 431,BOAZ,AL,35957-,MARSHALL,MARSHALL MEDICAL CENTER - SOUTH,22373664.0,0.338088,2857924.0,2381672.0,58287097.0,1502280.0,28103520.0,,6059819.0,,36162096.0,,29314666.0,7685869.0,63831406.0,111096442.0,13609924.0,11232828.0,,,,,,,2009,unique reports
10007,2008-10-01,2009-09-30,2013-05-30,2013-05-21,v1996,78.0,49087280.0,15577782.0,33509498.0,16809041.0,3278460.0,1018784.0,17537303.0,2173.0,1256.0,238.0,6270515.0,,702 MAIN STREET,OPP,AL,36462-,COVINGTON,MIZELL MEMORIAL HOSPITAL,3759817.0,0.328261,2620739.0,575199.0,8649034.0,,10000000.0,,,,8773211.0,,5269855.0,1867447.0,23722639.0,24230511.0,5790742.0,5252367.0,,,,,,,2009,unique reports
10008,2009-01-01,2009-12-31,2010-06-11,2010-06-10,v1996,29.0,25498474.0,9647437.0,15851037.0,9739449.0,2116408.0,,8775777.0,1007.0,375.0,294.0,2347640.0,,101 HOSPITAL CIRCLE,LUVERNE,AL,36049-,CRENSHAW,CRENSHAW COMMUNITY HOSPITAL,2958189.0,0.393387,23102.0,261455.0,122939.0,,,,,,162256.0,,1540607.0,1529170.0,13527848.0,10100694.0,1542401.0,1424410.0,,,,,,,2009,unique reports
10010,2008-10-01,2009-09-30,2010-04-12,2010-03-08,v1996,90.0,137831910.0,52980613.0,84851297.0,55479408.0,9324333.0,1319943.0,38668108.0,4227.0,2016.0,588.0,13310465.0,4876.0,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976-,MARSHALL,MARSHALL MEDICAL CENTER - NORTH,13745290.0,0.362146,3593277.0,11167694.0,27793289.0,2409312.0,16788297.0,,1422355.0,,29969651.0,,20780801.0,4194599.0,48088385.0,78845794.0,12024549.0,10744391.0,,,,,,,2009,unique reports
10016,2008-10-01,2009-09-30,2010-03-10,2010-02-26,v1996,191.0,691517836.0,122585110.0,568932726.0,114389544.0,50588577.0,12135456.0,340859125.0,10121.0,3340.0,2042.0,29111853.0,73914.0,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,SHELBY BAPTIST MEDICAL CENTER,46238649.0,0.164873,,123683.0,78191356.0,,,,,,82204646.0,,16978368.0,48915221.0,400942560.0,282960149.0,26595437.0,24529903.0,,,,,,,2009,unique reports
10018,2008-10-01,2009-09-30,2011-04-20,2011-03-31,v1996,16.0,69596020.0,23872571.0,45723449.0,25974373.0,209692.0,,1569527.0,167.0,49.0,20.0,435671.0,,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,AL,35233-,JEFFERSON,CALLAHAN EYE FOUNDATION HOSP,1847651.0,0.308725,755596.0,2241304.0,19726660.0,118819.0,19838488.0,1765845.0,3239497.0,30183.0,13697887.0,,6498167.0,3783917.0,1779219.0,60705791.0,539494.0,480468.0,,,,,,,2009,unique reports
10019,2008-10-01,2009-09-30,2010-03-22,2010-03-22,v1996,185.0,228927258.0,75519752.0,153407506.0,80672039.0,20250409.0,3413206.0,81374893.0,7836.0,3244.0,960.0,23578595.0,5492.0,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660-,COLBERT,HELEN KELLER HOSPITAL,12326911.0,0.330111,,3626004.0,37446750.0,,,,,,,64880114.0,19165746.0,4094178.0,100172758.0,115101478.0,21651154.0,19945162.0,,,,,,,2009,unique reports
10021,2008-10-01,2009-09-30,2013-06-19,2013-06-11,v1996,77.0,67423456.0,26920955.0,40502501.0,29091550.0,1846297.0,1103746.0,16969114.0,1842.0,889.0,311.0,5819076.0,,126 HOSPITAL,OZARK,AL,36360,DALE,DALE MEDICAL CENTER,7012840.0,0.310883,,14870237.0,11569676.0,,7249092.0,,,,4832730.0,,21841729.0,5635526.0,23521150.0,43902307.0,4655125.0,4367925.0,,,,,,,2009,unique reports
10029,2008-10-01,2009-09-30,2010-08-24,2010-08-23,v1996,266.0,478296822.0,217988966.0,260307856.0,223401400.0,41716581.0,8773520.0,,15336.0,5763.0,2379.0,53412301.0,58841.0,2000 PEPPERELL PKWY,OPELIKA,AL,36802-,LEE,EAST ALABAMA MEDICAL CENTER,,0.41675,8625989.0,115465796.0,151825168.0,,,,,,137534641.0,,146686807.0,34554152.0,229638753.0,226159349.0,49014712.0,41845942.0,,,,,,,2009,unique reports
